matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
original,3,BBDC3|PETR3|PETR4,Financials|Oil Gas and Biofuels|Oil Gas and Biofuels,Banks|Oil Gas and Biofuels|Oil Gas and Biofuels,2,False,False,0.7251688303059723,0.596886466842221,0.9755322818089285
original,3,BBDC4|BEES3|CPLE6,Financials|Financials|Utilities,Banks|Banks|Electric Utility,2,False,False,0.36450913102534327,0.2614908018674284,0.5609101126481109
original,3,BBDC4|BEES3|ITSA4,Financials|Financials|Financials,Banks|Banks|Financial Services,1,True,False,0.46934076084081183,0.27112647856049066,0.8450437707614061
original,3,BBDC4|CCRO3|CGAS5,Financials|Industrials|Utilities,Banks|Transportation|Gas Utility,3,False,False,0.3612618933595722,0.26004148042326986,0.5441863423789257
original,3,BBDC4|CCRO3|CYRE3,Financials|Industrials|Real Estate,Banks|Transportation|Real Estate,3,False,False,0.568069145154995,0.5441863423789257,0.5940343657572114
original,3,BBDC4|CCRO3|RAPT4,Financials|Industrials|Industrials,Banks|Transportation|Transportation Equipment,2,False,False,0.52956040685332,0.5208941776797377,0.5441863423789257
original,3,BBDC4|CGAS5|RAPT4,Financials|Utilities|Industrials,Banks|Gas Utility|Transportation Equipment,3,False,False,0.35478107612203164,0.26004148042326986,0.5208941776797377
original,3,BBDC4|CMIG4|CPLE6,Financials|Utilities|Utilities,Banks|Electric Utility|Electric Utility,2,False,False,0.6045184073964028,0.5608917846918231,0.6917533248492743
original,3,BBDC4|CMIG4|ITSA4,Financials|Utilities|Financials,Banks|Electric Utility|Financial Services,2,False,False,0.6579088578734161,0.5608917846918231,0.8450437707614061
original,3,BBDC4|CPLE6|ITSA4,Financials|Utilities|Financials,Banks|Electric Utility|Financial Services,2,False,False,0.6576336268240962,0.5609101126481109,0.8450437707614061
original,3,BBDC4|CYRE3|ITSA4,Financials|Real Estate|Financials,Banks|Real Estate|Financial Services,2,False,False,0.6874216854900204,0.5940343657572114,0.8450437707614061
original,3,BBDC4|CYRE3|KEPL3,Financials|Real Estate|Industrials,Banks|Real Estate|Machinery and Equipment,3,False,False,0.32808741451106815,0.1682284339889757,0.5940343657572114
original,3,BBDC4|CYRE3|LREN3,Financials|Real Estate|Consumer Cyclical,Banks|Real Estate|Retail,3,False,False,0.5849180018160668,0.552369209255055,0.6083504304359342
original,3,BBDC4|CYRE3|POMO4,Financials|Real Estate|Industrials,Banks|Real Estate|Transportation Equipment,3,False,False,0.52860373071237,0.47266907536407404,0.5940343657572114
original,3,BBDC4|CYRE3|RAPT4,Financials|Real Estate|Industrials,Banks|Real Estate|Transportation Equipment,3,False,False,0.567906617308309,0.5208941776797377,0.5940343657572114
original,3,BBDC4|ITSA4|LREN3,Financials|Financials|Consumer Cyclical,Banks|Financial Services|Retail,2,False,False,0.6490073144084126,0.549608963208777,0.8450437707614061
original,3,BBDC4|KEPL3|LREN3,Financials|Industrials|Consumer Cyclical,Banks|Machinery and Equipment|Retail,3,False,False,0.3112894423561398,0.1682284339889757,0.552369209255055
original,3,BBDC4|PETR3|PETR4,Financials|Oil Gas and Biofuels|Oil Gas and Biofuels,Banks|Oil Gas and Biofuels|Oil Gas and Biofuels,2,False,False,0.732418864956568,0.6092238777977815,0.9755322818089285
original,3,BBDC4|POMO4|RAPT4,Financials|Industrials|Industrials,Banks|Transportation Equipment|Transportation Equipment,2,False,False,0.5232712874115572,0.47266907536407404,0.5762506091908597
original,3,BEES3|CPLE6|ITSA4,Financials|Utilities|Financials,Banks|Electric Utility|Financial Services,2,False,False,0.3734299440435796,0.2614908018674284,0.5669469970627716
original,3,BOBR4|GGBR3|GOAU3,Consumer Non-Cyclical|Basic Materials|Basic Materials,Personal and Home Care|Steel and Metallurgy|Steel and Metallurgy,2,False,False,0.4420295848353921,0.24039703458200612,0.8220940519172879
original,3,BOBR4|GGBR3|GOAU4,Consumer Non-Cyclical|Basic Materials|Basic Materials,Personal and Home Care|Steel and Metallurgy|Steel and Metallurgy,2,False,False,0.464951691892141,0.24039703458200612,0.8997881409522721
original,3,BOBR4|GOAU3|GOAU4,Consumer Non-Cyclical|Basic Materials|Basic Materials,Personal and Home Care|Steel and Metallurgy|Steel and Metallurgy,2,False,False,0.461470691379543,0.2546699001421447,0.8661445059896019
original,3,BRAP3|BRAP4|CSNA3,Basic Materials|Basic Materials|Basic Materials,Mining|Mining|Steel and Metallurgy,1,True,False,0.7272422558853632,0.6266704621925788,0.829926921722093
