matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
group_mode,3,CCRO3|GRND3|PSSA3,Industrials|Consumer Cyclical|Financials,Transportation|Apparel and Footwear|Insurance,3,False,False,0.06452839807236921,0.0466844693696858,0.0757010692612257
group_mode,3,CCRO3|GUAR3|LREN3,Industrials|Consumer Cyclical|Consumer Cyclical,Transportation|Retail|Retail,2,False,False,0.08106967736547466,0.059713450686395,0.1202186036849879
group_mode,3,CCRO3|LREN3|PSSA3,Industrials|Consumer Cyclical|Financials,Transportation|Retail|Insurance,3,False,False,0.058588924940566,0.0466844693696858,0.0658053277269711
group_mode,3,CMIG3|CMIG4|COCE5,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.1292485522176742,0.0888498339314107,0.2051214579874543
group_mode,3,CMIG3|CMIG4|CPFE3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.17690308079890005,0.1621349460813337,0.2051214579874543
group_mode,3,CMIG3|CMIG4|CPLE3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.186436335531618,0.1754320389203496,0.2051214579874543
group_mode,3,CMIG3|CMIG4|CPLE6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.1887555946424826,0.1804124427020917,0.2051214579874543
group_mode,3,CMIG3|CMIG4|ELET3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.18267192658740838,0.1695763295379367,0.2051214579874543
group_mode,3,CMIG3|CMIG4|ELET6,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.18506461697406076,0.1731531084913859,0.2051214579874543
group_mode,3,CMIG3|CMIG4|SBSP3,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Water and Sanitation,1,True,False,0.14575033128929762,0.1142973779561674,0.2051214579874543
group_mode,3,CMIG3|CMIG4|TRPL4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.15270280411508644,0.1262307821936296,0.2051214579874543
group_mode,3,CMIG3|COCE5|TRPL4,Utilities|Utilities|Utilities,Electric Utility|Electric Utility|Electric Utility,1,True,True,0.09223975531083323,0.0561887290341667,0.1267561721641754
