model,feature_set,symbol,horizon,split,MAE,RMSE,QLIKE,R2_oos
Random Forest,Set B (+Market/RMT),PETR4,20,train,0.020251766229530607,0.02675744372367645,-3.4377741625362788,0.7503848697929149
Random Forest,Set B (+Market/RMT),PETR4,20,validation,0.04463859646725547,0.09114488083384975,-2.0912218790671453,-0.03243271362381672
Random Forest,Set B (+Market/RMT),PETR4,20,test,0.027627918394285633,0.0413364337600251,-3.7089006639818525,0.1862736816211622
Random Forest,Set B (+Market/RMT),VALE3,20,train,0.017850281828379597,0.025296760163203615,-3.44966779583582,0.7646057174771645
Random Forest,Set B (+Market/RMT),VALE3,20,validation,0.034846153316823385,0.06833180142210682,-2.9803370259059947,-0.09288134478928578
Random Forest,Set B (+Market/RMT),VALE3,20,test,0.024969138727565142,0.033696828737940984,-3.94614107225154,0.3765370337899586
HistGradientBoosting,Set B (+Market/RMT),BBDC4,20,train,0.014511116337801154,0.02152428395168255,-3.8729486272434057,0.6987038234867173
HistGradientBoosting,Set B (+Market/RMT),BBDC4,20,validation,0.03061267894520474,0.055787083706122474,-3.243179147942367,0.04100145826660373
HistGradientBoosting,Set B (+Market/RMT),BBDC4,20,test,0.023937698674605823,0.03359734821250039,-3.9150213954735196,0.047181770236347176
HistGradientBoosting,Set B (+Market/RMT),PETR4,20,train,0.016379006063812675,0.02148103353913446,-3.476264939881426,0.8391237215427217
HistGradientBoosting,Set B (+Market/RMT),PETR4,20,validation,0.045610623298876676,0.09142469388246308,-2.219092557856466,-0.038781541621450755
HistGradientBoosting,Set B (+Market/RMT),PETR4,20,test,0.029122686994740493,0.042976168217537886,-3.6837141213017754,0.12043541832185145
HistGradientBoosting,Set B (+Market/RMT),VALE3,20,train,0.014748414872989142,0.02080865371822323,-3.478972823563244,0.8407226323030313
HistGradientBoosting,Set B (+Market/RMT),VALE3,20,validation,0.035968955063329144,0.0697667828226692,-2.9501027208812785,-0.13926476515202024
HistGradientBoosting,Set B (+Market/RMT),VALE3,20,test,0.02486737698721265,0.034066664788414136,-3.9425612193279456,0.3627764255592919
MLP,Set B (+Market/RMT),BBDC4,20,train,0.021200355046865335,0.031158050714228915,-3.774172499196408,0.3686404489031133
MLP,Set B (+Market/RMT),BBDC4,20,validation,0.028653782193427717,0.05331047736118457,-3.256607918262776,0.12425882131755195
MLP,Set B (+Market/RMT),BBDC4,20,test,0.025217615961079316,0.035519652295805705,-2.4923088837182337,-0.06497023105247024
MLP,Set B (+Market/RMT),PETR4,20,train,0.02706703788755559,0.03670581656319652,-3.3436993258867655,0.5302665965592375
MLP,Set B (+Market/RMT),PETR4,20,validation,0.04297487173269639,0.09216655272663214,-1.957795830304672,-0.05570816937967216
MLP,Set B (+Market/RMT),PETR4,20,test,0.021654101157892302,0.03384419826337717,-3.7469254769653526,0.45451751272767027
MLP,Set B (+Market/RMT),VALE3,20,train,0.023882536492845878,0.03413942371756393,-3.3822723105254298,0.5712753294977815
MLP,Set B (+Market/RMT),VALE3,20,validation,0.03554790937311672,0.06496889934733724,-2.9216651646233887,0.012042434732547735
MLP,Set B (+Market/RMT),VALE3,20,test,0.017094905618154195,0.022250323345732338,-4.042037093167694,0.7281650751462881
Ridge,Set C (+Network),BBDC4,20,train,0.01933439372710504,0.02924827583169357,-3.79886644198499,0.4436645495976551
Ridge,Set C (+Network),BBDC4,20,validation,0.026947260727719313,0.050069154161751166,-3.369300919785119,0.22751307361489836
Ridge,Set C (+Network),BBDC4,20,test,0.023698852682421154,0.03378044765710504,-3.87376831007897,0.03676809850498175
Ridge,Set C (+Network),PETR4,20,train,0.02565301623658327,0.03411929899155514,-3.380281113761476,0.5941347543740771
Ridge,Set C (+Network),PETR4,20,validation,0.04279622001942886,0.08808031543003637,-2.3705055694341874,0.03582710867276884
